,home_team,game_date,umpire
0,KC,2023-03-30,Todd Tichenor
1,KC,2023-04-01,Brian Knight
2,KC,2023-04-02,Alex Tosi
3,KC,2023-04-03,Adam Hamari
4,KC,2023-04-04,Jerry Layne
5,KC,2023-04-05,Vic Carapazza
6,KC,2023-04-06,Manny Gonzalez
7,KC,2023-04-14,Quinn Wolcott
8,KC,2023-04-15,Junior Valentine
9,KC,2023-04-16,Adrian Johnson
10,KC,2023-04-17,Bruce Dreckman
11,KC,2023-04-18,Stu Scheurwater
12,KC,2023-04-19,Malachi Moore
13,KC,2023-05-02,Chad Whitson
14,KC,2023-05-03,Roberto Ortiz
15,KC,2023-05-04,Rob Drake
16,KC,2023-05-05,Paul Emmel
17,KC,2023-05-06,Chad Fairchild
18,KC,2023-05-07,Nic Lentz
19,KC,2023-05-08,Manny Gonzalez
20,KC,2023-05-09,Junior Valentine
21,KC,2023-05-10,Adrian Johnson
22,KC,2023-05-11,Quinn Wolcott
23,KC,2023-05-22,CB Bucknor
24,KC,2023-05-23,Chris Segal
25,KC,2023-05-24,Brian Walsh
26,KC,2023-05-26,Lance Barksdale
27,KC,2023-05-27,Will Little
28,KC,2023-05-28,Ryan Additon
29,KC,2023-06-02,Mike Muchlinski
30,KC,2023-06-03,Sean Barber
31,KC,2023-06-04,Alan Porter
32,KC,2023-06-12,CB Bucknor
33,KC,2023-06-13,Ben May
34,KC,2023-06-14,Jeff Nelson
35,KC,2023-06-16,Todd Tichenor
36,KC,2023-06-17,Tony Randazzo
37,KC,2023-06-18,Jeremy Riggs
38,KC,2023-06-27,Andy Fletcher
39,KC,2023-06-28,Mike Estabrook
40,KC,2023-06-29,Jeremy Riggs
41,KC,2023-06-30,Marvin Hudson
42,KC,2023-07-01,Ryan Blakney
43,KC,2023-07-02,Hunter Wendelstedt
44,KC,2023-07-16,Ryan Wills
45,KC,2023-07-17,Doug Eddings
46,KC,2023-07-18,Ramon D
47,KC,2023-07-19,Brian Walsh
48,KC,2023-07-20,Alfonso MÃ¡rquez
49,KC,2023-07-28,Mike Muchlinski
50,KC,2023-07-29,Sean Barber
51,KC,2023-07-30,Alan Porter
52,KC,2023-08-01,Ryan Blakney
53,KC,2023-08-02,Marvin Hudson
54,KC,2023-08-03,Hunter Wendelstedt
55,KC,2023-08-11,Larry Vanover
56,KC,2023-08-12,Chris Guccione
57,KC,2023-08-14,John Libka
58,KC,2023-08-15,D.J. Reyburn
59,KC,2023-08-16,Angel Hernandez
60,KC,2023-08-17,James Hoye
61,KC,2023-08-28,Nestor Ceja
62,KC,2023-08-29,Brian O'Nora
63,KC,2023-08-30,Pat Hoberg
64,KC,2023-09-01,Sean Barber
65,KC,2023-09-02,Alan Porter
66,KC,2023-09-03,Jim Wolf
67,KC,2023-09-04,Nate Tomlinson
68,KC,2023-09-05,Bill Miller
69,KC,2023-09-06,Chad Whitson
70,KC,2023-09-15,James Hoye
71,KC,2023-09-16,John Libka
72,KC,2023-09-17,Derek Thomas
73,KC,2023-09-18,Ramon D
74,KC,2023-09-19,Emil Jimenez
75,KC,2023-09-20,Doug Eddings
76,KC,2023-09-29,Ron Kulpa
77,KC,2023-09-30,Jeremy Riggs
78,KC,2023-10-01,Clint Vondrak
