game_date,home_team,game_pk,umpire
2023-06-03,BOS,717885,David Rackley
2023-06-03,BOS,717918,Edwin Moscoso
2023-06-18,BOS,717715,John Tumpane
2023-06-18,BOS,717730,Marvin Hudson
2023-09-12,BOS,716612,Alex Tosi
2023-09-12,BOS,716628,Brian Knight
2023-09-14,BOS,716593,Todd Tichenor
2023-09-14,BOS,716597,Dan Merzel
2023-09-01,CIN,716770,Andy Fletcher
2023-09-01,CIN,718700,Erich Bacchus
2023-04-22,CLE,718473,Ryan Additon
2023-04-22,CLE,718488,Dan Merzel
2023-08-18,CLE,716956,Jeff Nelson
2023-08-18,CLE,716959,Chris Segal
2023-09-16,COL,716550,Ryan Additon
2023-09-16,COL,716581,Lance Barksdale
2023-09-26,COL,716424,Jeff Nelson
2023-09-26,COL,716438,Jose Navas
2023-04-18,CWS,718525,CB Bucknor
2023-04-18,CWS,718543,Chris Segal
2023-07-06,CWS,717468,Edwin Moscoso
2023-07-06,CWS,717480,Ryan Additon
2023-09-12,CWS,716611,Jeremie Rehak
2023-09-12,CWS,716631,Junior Valentine
2023-04-18,DET,718530,Alex Tosi
2023-04-18,DET,718541,Tony Randazzo
2023-04-29,DET,718381,Ramon D
2023-04-29,DET,718401,Edwin Moscoso
2023-05-03,DET,718329,Scott Barry
2023-05-03,DET,718348,Gabe Morales
2023-06-14,DET,717770,Scott Barry
2023-06-14,DET,717784,Mark Carlson
2023-07-27,DET,717243,Derek Thomas
2023-07-27,DET,717247,Brennan Miller
2023-07-15,KC,717393,Edwin Moscoso
2023-07-15,KC,717411,Erich Bacchus
2023-08-19,LAA,716915,Will Little
2023-08-19,LAA,716925,Dan Merzel
2023-08-23,LAA,716890,Edwin Moscoso
2023-08-23,LAA,716903,David Rackley
2023-08-19,LAD,716909,Lance Barrett
2023-08-19,LAD,716926,Ryan Wills
2023-05-01,NYM,718352,Manny Gonzalez
2023-05-01,NYM,718361,Junior Valentine
2023-05-21,NYM,718082,Ryan Additon
2023-05-21,NYM,718099,Dan Merzel
2023-08-12,NYM,717021,Derek Thomas
2023-08-12,NYM,718371,Brennan Miller
2023-09-27,NYM,716411,Alfonso MÃ¡rquez
2023-09-27,NYM,716430,Ramon D
2023-09-30,NYM,716376,Quinn Wolcott
2023-09-30,NYM,716393,D.J. Reyburn
2023-06-08,NYN,717848,Will Little
2023-06-08,NYN,717857,Dan Merzel
2023-07-15,PHI,717397,Phil Cuzzi
2023-07-15,PHI,717408,Shane Livensparger
2023-08-08,PHI,717082,Jordan Baker
2023-08-08,PHI,717096,Derek Thomas
2023-09-11,PHI,716590,Larry Vanover
2023-09-11,PHI,717664,David Rackley
2023-08-13,PIT,717015,Charlie Ramos
2023-08-13,PIT,717027,Nic Lentz
2023-08-19,SD,716919,David Rackley
2023-08-19,SD,716931,Larry Vanover
2023-07-01,STL,717545,Lance Barksdale
2023-07-01,STL,717550,Ryan Additon
2023-04-29,WSH,718383,Erich Bacchus
2023-04-29,WSH,718399,Laz Diaz
2023-08-20,WSH,716929,Sean Barber
2023-09-24,WSH,716459,Emil Jimenez
2023-09-24,WSH,716467,Jacob Metz
